name,link,house
Alain Badiou,https://ceasefiremagazine.co.uk/alain-badiou-event/,
angel Kyodo williams,https://angelkyodowilliams.com/,
Brazilian Jiu Jitsu,,reef
SÃ¸ren Brier,https://www.cybersemiotics.com/content/what-cybersemiotics,reef
Burning Man,,
Contact Improvisation,,woods
James Carse,http://wtf.tw/ref/carse.pdf,
Louis-Bertrand Castel,https://jscholarship.library.jhu.edu/bitstream/handle/1774.2/39678/RICHARD-DISSERTATION-2016.pdf,paradise
Fluxus,,
Francisco Varela,https://monoskop.org/images/3/35/Maturana_Humberto_Varela_Francisco_Autopoiesis_and_Congition_The_Realization_of_the_Living.pdf,
Jo Freeman,https://www.jofreeman.com/joreen/tyranny.htm,
The KLF,https://www.youtube.com/watch?v=bWebqCRw7o4,
Hermann Hesse,,
Maker Movement,https://en.wikipedia.org/wiki/Maker_culture,
Open Source,,
Seymour Papert,http://worrydream.com/refs/Papert%20-%20Mindstorms%201st%20ed.pdf,
Gunther Teubner,https://cadmus.eui.eu/handle/1814/23894,paradise
Shamanism,,woods
Simone de Beauvoir,https://www.marxists.org/reference/subject/ethics/de-beauvoir/ambiguity/index.htm,
Tai Chi,,paradise
